epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,264.599,0.2375,0.19555,0.80005,0.98869,0.94339,0.97868,0.78215,0.66251,0.40624,0.88418,0.00144145,0.00144145,0.00144145
43,270.886,0.22868,0.19122,0.79801,0.95307,0.92293,0.97076,0.76389,0.75025,0.54221,0.92535,0.00143595,0.00143595,0.00143595
44,277.195,0.22044,0.1901,0.79715,0.9858,0.95515,0.98068,0.76935,0.75305,0.43577,0.92647,0.00143045,0.00143045,0.00143045
45,283.482,0.2205,0.18518,0.79713,0.97783,0.9392,0.97516,0.78029,0.75021,0.43209,0.91585,0.00142495,0.00142495,0.00142495
46,289.778,0.22334,0.18412,0.79702,0.98116,0.94641,0.97761,0.79025,0.70395,0.40059,0.88464,0.00141945,0.00141945,0.00141945
47,296.053,0.21266,0.17902,0.79535,0.98205,0.95831,0.97704,0.76526,0.72524,0.41419,0.8961,0.00141395,0.00141395,0.00141395
48,302.319,0.20247,0.17198,0.79434,0.99061,0.94388,0.98142,0.78712,0.73185,0.40701,0.88973,0.00140845,0.00140845,0.00140845
49,308.587,0.19466,0.16831,0.79326,0.98659,0.95467,0.97931,0.78909,0.68931,0.39901,0.87644,0.00140295,0.00140295,0.00140295
50,314.86,0.1904,0.16523,0.79303,0.97985,0.94966,0.97308,0.77512,0.73841,0.4453,0.91201,0.00139745,0.00139745,0.00139745
51,321.122,0.18356,0.16144,0.7921,0.98935,0.94641,0.98113,0.7871,0.67,0.40761,0.87849,0.00139195,0.00139195,0.00139195
52,327.383,0.18673,0.16217,0.79231,0.97693,0.94046,0.97629,0.78664,0.68032,0.4213,0.88645,0.00138644,0.00138644,0.00138644
53,333.653,0.17912,0.15814,0.79172,0.96817,0.96841,0.98321,0.79493,0.74688,0.4064,0.89499,0.00138094,0.00138094,0.00138094
54,339.962,0.18699,0.16078,0.79251,0.97855,0.93524,0.97403,0.75921,0.73032,0.41978,0.92231,0.00137544,0.00137544,0.00137544
55,346.246,0.1933,0.16633,0.79293,0.98065,0.95761,0.98122,0.78019,0.73938,0.40183,0.92279,0.00136994,0.00136994,0.00136994
56,352.535,0.19751,0.16663,0.79314,0.97246,0.95485,0.97564,0.76292,0.71692,0.41401,0.90588,0.00136444,0.00136444,0.00136444
57,358.813,0.1961,0.16416,0.79355,0.98347,0.95751,0.98014,0.77897,0.69647,0.41746,0.88883,0.00135894,0.00135894,0.00135894
58,365.094,0.1755,0.15477,0.79138,0.97794,0.9479,0.98113,0.77258,0.73754,0.43355,0.92827,0.00135344,0.00135344,0.00135344
59,371.339,0.18376,0.15787,0.79147,0.97124,0.95907,0.97616,0.7751,0.74286,0.39912,0.90216,0.00134794,0.00134794,0.00134794
60,377.599,0.17164,0.15071,0.7907,0.97862,0.96497,0.97758,0.78881,0.72668,0.4089,0.89263,0.00134244,0.00134244,0.00134244
61,383.89,0.16801,0.1515,0.79044,0.97797,0.95702,0.97753,0.79235,0.72135,0.38039,0.89307,0.00133693,0.00133693,0.00133693
62,390.218,0.17516,0.15434,0.79121,0.97644,0.94501,0.97565,0.77018,0.73963,0.46096,0.93412,0.00133143,0.00133143,0.00133143
63,396.511,0.18327,0.15766,0.79149,0.98028,0.95869,0.97974,0.77961,0.77734,0.39979,0.92721,0.00132593,0.00132593,0.00132593
64,402.792,0.16709,0.14826,0.78983,0.98347,0.95348,0.97835,0.78556,0.72026,0.39674,0.90277,0.00132043,0.00132043,0.00132043
65,409.093,0.16214,0.1455,0.78985,0.97893,0.96073,0.97974,0.78081,0.74592,0.43006,0.92592,0.00131493,0.00131493,0.00131493
66,415.382,0.16763,0.14812,0.79001,0.98502,0.95927,0.98484,0.79992,0.69021,0.38553,0.8929,0.00130943,0.00130943,0.00130943
67,421.706,0.16179,0.14504,0.78945,0.98755,0.95075,0.98377,0.79769,0.72196,0.39045,0.90575,0.00130393,0.00130393,0.00130393
68,428.034,0.16543,0.14927,0.78963,0.96001,0.96167,0.97889,0.78103,0.71299,0.41407,0.89834,0.00129843,0.00129843,0.00129843
69,434.358,0.16779,0.14876,0.79,0.98425,0.95479,0.9845,0.79206,0.71306,0.38358,0.89512,0.00129293,0.00129293,0.00129293
70,440.658,0.16857,0.14562,0.78978,0.98562,0.95884,0.98648,0.7914,0.7081,0.39556,0.891,0.00128742,0.00128742,0.00128742
71,446.995,0.15803,0.1407,0.78888,0.98061,0.95282,0.97462,0.76288,0.78159,0.45685,0.92385,0.00128192,0.00128192,0.00128192
72,453.295,0.15654,0.14027,0.7892,0.98516,0.96018,0.98118,0.76525,0.75064,0.40516,0.92022,0.00127642,0.00127642,0.00127642
73,459.605,0.15919,0.1424,0.78885,0.98712,0.96021,0.98503,0.79061,0.73744,0.38526,0.91174,0.00127092,0.00127092,0.00127092
74,465.908,0.16321,0.1445,0.78954,0.98701,0.9605,0.98405,0.78529,0.71765,0.38886,0.92447,0.00126542,0.00126542,0.00126542
75,472.224,0.15216,0.13885,0.78813,0.98258,0.95423,0.9831,0.77319,0.70892,0.39316,0.90253,0.00125992,0.00125992,0.00125992
76,478.512,0.14846,0.13629,0.78739,0.98569,0.94812,0.98302,0.814,0.67376,0.36809,0.88263,0.00125442,0.00125442,0.00125442
77,484.837,0.15196,0.13811,0.78795,0.97333,0.96803,0.98293,0.78311,0.7103,0.39158,0.89753,0.00124892,0.00124892,0.00124892
78,491.152,0.14169,0.13176,0.78713,0.97823,0.9524,0.9823,0.80162,0.71077,0.39082,0.90612,0.00124342,0.00124342,0.00124342
79,497.461,0.15146,0.13625,0.78786,0.98182,0.95087,0.98469,0.78478,0.766,0.41036,0.92378,0.00123791,0.00123791,0.00123791
80,503.786,0.13949,0.1299,0.78682,0.9778,0.95442,0.97976,0.78452,0.72353,0.39909,0.91384,0.00123241,0.00123241,0.00123241
81,510.092,0.13709,0.13124,0.78667,0.98361,0.96464,0.98317,0.8054,0.68214,0.38075,0.89756,0.00122691,0.00122691,0.00122691
82,516.394,0.13115,0.12609,0.78622,0.98539,0.96613,0.98282,0.78104,0.77917,0.42285,0.92951,0.00122141,0.00122141,0.00122141
83,522.697,0.1382,0.12789,0.7867,0.98402,0.9706,0.98216,0.79783,0.69594,0.38163,0.90657,0.00121591,0.00121591,0.00121591
84,528.973,0.13755,0.12848,0.78647,0.97807,0.95528,0.98584,0.79734,0.71119,0.39125,0.9016,0.00121041,0.00121041,0.00121041
85,535.264,0.13345,0.1253,0.78652,0.98303,0.94826,0.98387,0.78849,0.72188,0.38772,0.92259,0.00120491,0.00120491,0.00120491
86,541.639,0.14256,0.13351,0.78701,0.98408,0.95869,0.98585,0.8019,0.70489,0.37588,0.9051,0.00119941,0.00119941,0.00119941
87,547.918,0.13129,0.1254,0.78615,0.98811,0.95883,0.982,0.79601,0.70359,0.38366,0.90634,0.00119391,0.00119391,0.00119391
88,554.197,0.12983,0.12299,0.78563,0.98699,0.95799,0.98582,0.79997,0.70289,0.38367,0.91008,0.0011884,0.0011884,0.0011884
89,560.505,0.13306,0.12606,0.78589,0.98304,0.96613,0.98248,0.78163,0.72058,0.39893,0.92071,0.0011829,0.0011829,0.0011829
90,566.843,0.13691,0.12913,0.78654,0.98135,0.96021,0.98363,0.77519,0.75748,0.40805,0.93473,0.0011774,0.0011774,0.0011774
91,573.274,0.15023,0.13711,0.78821,0.97409,0.94603,0.9804,0.77573,0.76466,0.43108,0.93641,0.0011719,0.0011719,0.0011719
92,579.587,0.14646,0.13336,0.78725,0.98779,0.94492,0.97722,0.77042,0.73989,0.4183,0.94793,0.0011664,0.0011664,0.0011664
93,585.866,0.1476,0.13528,0.78764,0.98137,0.94827,0.97817,0.7671,0.72395,0.40428,0.9389,0.0011609,0.0011609,0.0011609
94,592.199,0.14469,0.13311,0.78717,0.98277,0.95734,0.98241,0.77983,0.70812,0.41026,0.91341,0.0011554,0.0011554,0.0011554
95,598.486,0.14327,0.13004,0.78694,0.98573,0.95385,0.98213,0.80546,0.6854,0.39219,0.88792,0.0011499,0.0011499,0.0011499
96,604.81,0.13418,0.12545,0.786,0.97779,0.95194,0.98158,0.79049,0.71907,0.41738,0.92278,0.0011444,0.0011444,0.0011444
97,611.152,0.13775,0.12851,0.78631,0.98389,0.95423,0.98112,0.78655,0.75086,0.4112,0.933,0.00113889,0.00113889,0.00113889
98,617.436,0.13677,0.12819,0.7863,0.98922,0.9572,0.9848,0.80181,0.73235,0.39908,0.93464,0.00113339,0.00113339,0.00113339
99,623.785,0.13146,0.12573,0.78587,0.97773,0.96531,0.9851,0.80444,0.71431,0.38858,0.91127,0.00112789,0.00112789,0.00112789
100,630.103,0.12478,0.12071,0.78553,0.98329,0.96018,0.98528,0.80293,0.71593,0.4087,0.91339,0.00112239,0.00112239,0.00112239
101,636.555,0.12682,0.12119,0.78565,0.99051,0.95123,0.9773,0.77411,0.73129,0.40527,0.93459,0.00111689,0.00111689,0.00111689
102,643.069,0.12417,0.11863,0.7852,0.98786,0.95869,0.98363,0.79111,0.71033,0.37487,0.92008,0.00111139,0.00111139,0.00111139
103,649.541,0.12595,0.11944,0.78515,0.98439,0.96288,0.98264,0.80413,0.70631,0.38452,0.89653,0.00110589,0.00110589,0.00110589
104,655.933,0.11796,0.11423,0.78496,0.98577,0.9626,0.98133,0.78896,0.70936,0.37535,0.89777,0.00110039,0.00110039,0.00110039
105,662.295,0.11545,0.11363,0.78455,0.9751,0.96927,0.9861,0.80544,0.68176,0.37446,0.90117,0.00109489,0.00109489,0.00109489
106,668.63,0.11984,0.11641,0.78457,0.98567,0.96316,0.9845,0.80216,0.7189,0.37666,0.91851,0.00108938,0.00108938,0.00108938
107,674.944,0.11691,0.11644,0.78458,0.97712,0.96121,0.98117,0.7808,0.74308,0.40502,0.93632,0.00108388,0.00108388,0.00108388
108,681.275,0.11218,0.11184,0.78419,0.98607,0.96138,0.98062,0.78649,0.71994,0.40142,0.9301,0.00107838,0.00107838,0.00107838
109,687.604,0.11455,0.11244,0.78462,0.98636,0.95816,0.98185,0.78082,0.73018,0.39419,0.92124,0.00107288,0.00107288,0.00107288
110,693.966,0.11922,0.11772,0.7848,0.98489,0.94827,0.97606,0.76482,0.73434,0.41385,0.91603,0.00106738,0.00106738,0.00106738
111,700.3,0.11437,0.11354,0.7848,0.97959,0.95572,0.98305,0.80256,0.68475,0.37338,0.90367,0.00106188,0.00106188,0.00106188
112,706.643,0.11543,0.11426,0.78441,0.98005,0.96613,0.98248,0.802,0.67674,0.37583,0.88434,0.00105638,0.00105638,0.00105638
113,712.976,0.11023,0.11039,0.78404,0.97667,0.95572,0.9773,0.78634,0.7039,0.39212,0.9135,0.00105088,0.00105088,0.00105088
114,719.291,0.10715,0.10754,0.7838,0.9825,0.96346,0.98076,0.79722,0.70798,0.38782,0.91701,0.00104538,0.00104538,0.00104538
115,725.604,0.10979,0.11082,0.78392,0.98516,0.95274,0.98272,0.80586,0.67231,0.38478,0.89292,0.00103987,0.00103987,0.00103987
116,731.911,0.10771,0.10861,0.78371,0.98529,0.95385,0.98104,0.79795,0.67984,0.39533,0.90221,0.00103437,0.00103437,0.00103437
117,738.253,0.11431,0.11196,0.78409,0.9812,0.95931,0.98357,0.80821,0.67184,0.38588,0.89328,0.00102887,0.00102887,0.00102887
118,744.576,0.1038,0.10656,0.78359,0.98491,0.96018,0.98199,0.79878,0.69785,0.38874,0.90281,0.00102337,0.00102337,0.00102337
119,750.917,0.10559,0.1066,0.78363,0.98494,0.95869,0.9833,0.78676,0.70916,0.38877,0.92169,0.00101787,0.00101787,0.00101787
120,757.245,0.11035,0.10938,0.78396,0.98554,0.95618,0.97941,0.77936,0.72913,0.42606,0.92606,0.00101237,0.00101237,0.00101237
121,763.538,0.11723,0.11326,0.7842,0.98358,0.96204,0.98517,0.78984,0.74519,0.40849,0.93602,0.00100687,0.00100687,0.00100687
122,769.863,0.111,0.10965,0.78383,0.98182,0.96179,0.98375,0.78799,0.71009,0.40141,0.91897,0.00100137,0.00100137,0.00100137
123,776.198,0.10813,0.10758,0.78365,0.98714,0.95156,0.98546,0.79325,0.70885,0.40011,0.92683,0.000995866,0.000995866,0.000995866
124,782.528,0.10135,0.10505,0.78348,0.98449,0.96762,0.98349,0.78711,0.70969,0.4105,0.923,0.000990365,0.000990365,0.000990365
125,788.849,0.09822,0.10347,0.78303,0.98585,0.96326,0.98119,0.77957,0.7345,0.41671,0.92598,0.000984864,0.000984864,0.000984864
126,795.171,0.10239,0.10573,0.78318,0.98719,0.96106,0.97951,0.77768,0.70394,0.42059,0.91822,0.000979362,0.000979362,0.000979362
