epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,193.971,0.22311,0.19233,0.79853,0.99275,0.97521,0.98961,0.76694,0.78113,0.59481,0.92242,0.00144145,0.00144145,0.00144145
43,198.599,0.21208,0.18579,0.79672,0.98184,0.95602,0.9833,0.76095,0.82882,0.8044,0.92306,0.00143595,0.00143595,0.00143595
44,203.241,0.21679,0.18809,0.79729,0.99362,0.96306,0.9889,0.7661,0.80203,0.6229,0.91555,0.00143045,0.00143045,0.00143045
45,207.901,0.20794,0.18012,0.79623,0.98326,0.95199,0.98309,0.78874,0.76412,0.65635,0.91691,0.00142495,0.00142495,0.00142495
46,212.533,0.21427,0.17965,0.7968,0.97369,0.96104,0.98703,0.77748,0.8133,0.6671,0.94097,0.00141945,0.00141945,0.00141945
47,217.16,0.20671,0.1766,0.79623,0.97687,0.96031,0.98214,0.78522,0.75958,0.75633,0.90781,0.00141395,0.00141395,0.00141395
48,221.805,0.20198,0.17563,0.79597,0.9941,0.96408,0.98423,0.77216,0.79366,0.63216,0.92844,0.00140845,0.00140845,0.00140845
49,226.433,0.20023,0.17479,0.79485,0.86223,0.93809,0.97607,0.76625,0.79067,0.97533,0.9234,0.00140295,0.00140295,0.00140295
50,231.074,0.19831,0.17216,0.79487,0.95804,0.951,0.98278,0.7683,0.79822,0.78317,0.92547,0.00139745,0.00139745,0.00139745
51,235.705,0.20167,0.17313,0.79537,0.85109,0.9476,0.97714,0.76452,0.82151,0.83919,0.934,0.00139195,0.00139195,0.00139195
52,240.335,0.18565,0.16621,0.79326,0.95243,0.95641,0.98611,0.77173,0.79956,0.86303,0.93218,0.00138644,0.00138644,0.00138644
53,244.974,0.19377,0.17044,0.79391,0.95411,0.95309,0.98173,0.76283,0.82389,0.88504,0.94086,0.00138094,0.00138094,0.00138094
54,249.623,0.19626,0.17068,0.79401,0.95758,0.94204,0.98313,0.77433,0.78396,0.79281,0.92594,0.00137544,0.00137544,0.00137544
55,254.286,0.20437,0.17423,0.79497,0.90991,0.94946,0.97975,0.77778,0.80532,0.80144,0.93497,0.00136994,0.00136994,0.00136994
56,258.922,0.18981,0.16434,0.79373,0.94826,0.95326,0.98116,0.78313,0.79556,0.77438,0.90904,0.00136444,0.00136444,0.00136444
57,263.538,0.18757,0.1633,0.7931,0.93842,0.96319,0.98369,0.76509,0.82623,0.77769,0.92689,0.00135894,0.00135894,0.00135894
58,268.167,0.18599,0.16419,0.79316,0.95535,0.76875,0.92243,0.6719,1.04343,1.19418,1.05071,0.00135344,0.00135344,0.00135344
59,272.805,0.18876,0.16559,0.79296,0.99138,0.95742,0.98079,0.77412,0.80336,0.66214,0.92368,0.00134794,0.00134794,0.00134794
60,277.488,0.18216,0.16204,0.79199,0.9915,0.97315,0.98563,0.7783,0.78652,0.48007,0.93075,0.00134244,0.00134244,0.00134244
61,282.145,0.17912,0.15625,0.79186,0.98396,0.96985,0.98836,0.78679,0.75202,0.55429,0.90942,0.00133693,0.00133693,0.00133693
62,286.807,0.16669,0.14962,0.79026,0.98941,0.95315,0.98239,0.76188,0.82852,0.68175,0.94968,0.00133143,0.00133143,0.00133143
63,291.45,0.1687,0.15064,0.7912,0.99375,0.97417,0.99138,0.77038,0.78936,0.47252,0.93962,0.00132593,0.00132593,0.00132593
64,296.106,0.17142,0.15237,0.79117,0.96654,0.95954,0.98608,0.77562,0.78534,0.72663,0.92288,0.00132043,0.00132043,0.00132043
65,300.748,0.16803,0.14973,0.79067,0.99267,0.95481,0.98771,0.77289,0.80428,0.58669,0.93449,0.00131493,0.00131493,0.00131493
66,305.387,0.16686,0.15047,0.79047,0.99321,0.96877,0.98944,0.77442,0.81587,0.6246,0.95094,0.00130943,0.00130943,0.00130943
67,310.028,0.16408,0.147,0.79071,0.89769,0.95019,0.98113,0.75975,0.83816,0.72913,0.95628,0.00130393,0.00130393,0.00130393
68,314.684,0.15618,0.14482,0.79049,0.92408,0.96255,0.98901,0.77032,0.79012,0.64062,0.92545,0.00129843,0.00129843,0.00129843
69,319.323,0.16748,0.15197,0.79114,0.98506,0.95003,0.97477,0.77141,0.77028,0.89437,0.92549,0.00129293,0.00129293,0.00129293
70,323.969,0.16667,0.15013,0.79002,0.98289,0.9653,0.98229,0.77989,0.78991,0.65176,0.92402,0.00128742,0.00128742,0.00128742
71,328.602,0.17063,0.14938,0.79109,0.98886,0.95476,0.98902,0.78135,0.81195,0.4997,0.93654,0.00128192,0.00128192,0.00128192
72,333.245,0.16918,0.14746,0.79014,0.9831,0.9766,0.98742,0.77626,0.82187,0.47212,0.94264,0.00127642,0.00127642,0.00127642
73,337.892,0.15766,0.145,0.78934,0.9903,0.98025,0.98893,0.79597,0.75006,0.53309,0.91139,0.00127092,0.00127092,0.00127092
74,342.547,0.1612,0.14485,0.79051,0.99148,0.97039,0.98183,0.78308,0.76309,0.61597,0.91478,0.00126542,0.00126542,0.00126542
75,347.19,0.15424,0.14314,0.78934,0.9915,0.96351,0.98252,0.78006,0.79114,0.81784,0.93204,0.00125992,0.00125992,0.00125992
76,351.833,0.15265,0.13982,0.78927,0.97596,0.97612,0.98719,0.78012,0.76828,0.68985,0.92712,0.00125442,0.00125442,0.00125442
77,356.481,0.14351,0.13312,0.78808,0.90241,0.96745,0.98277,0.77157,0.79819,0.89606,0.92707,0.00124892,0.00124892,0.00124892
78,361.13,0.13809,0.13081,0.78792,0.94877,0.96679,0.98271,0.7738,0.79852,0.77143,0.93688,0.00124342,0.00124342,0.00124342
79,365.765,0.13978,0.13186,0.78801,0.98583,0.95167,0.97987,0.76694,0.80646,0.68401,0.94639,0.00123791,0.00123791,0.00123791
80,370.415,0.14925,0.13726,0.78862,0.96046,0.9699,0.98433,0.77123,0.80361,0.69867,0.93483,0.00123241,0.00123241,0.00123241
81,375.044,0.14159,0.13448,0.78802,0.98935,0.9549,0.98001,0.76891,0.80739,0.88676,0.92991,0.00122691,0.00122691,0.00122691
82,379.671,0.13983,0.13162,0.78737,0.98703,0.97612,0.98588,0.77537,0.79105,0.58122,0.93247,0.00122141,0.00122141,0.00122141
83,384.331,0.14187,0.13532,0.78715,0.96662,0.97414,0.98673,0.77376,0.80496,0.60059,0.93855,0.00121591,0.00121591,0.00121591
84,388.962,0.14215,0.13435,0.78796,0.99625,0.97818,0.98972,0.78097,0.79756,0.49358,0.93845,0.00121041,0.00121041,0.00121041
85,393.617,0.15563,0.14254,0.78887,0.94148,0.95465,0.97965,0.76289,0.82429,0.79407,0.94669,0.00120491,0.00120491,0.00120491
86,398.256,0.14678,0.13593,0.78839,0.9355,0.96166,0.97885,0.76535,0.81054,0.85103,0.92853,0.00119941,0.00119941,0.00119941
87,402.902,0.13843,0.12949,0.78692,0.99202,0.96792,0.98469,0.77895,0.80909,0.64924,0.93503,0.00119391,0.00119391,0.00119391
88,407.531,0.14272,0.13344,0.78779,0.97351,0.95824,0.98385,0.77954,0.80982,0.61453,0.93878,0.0011884,0.0011884,0.0011884
89,412.178,0.13677,0.13213,0.78745,0.95829,0.96341,0.98097,0.77555,0.80349,0.75023,0.9333,0.0011829,0.0011829,0.0011829
90,416.831,0.13525,0.13258,0.78729,0.99266,0.97086,0.99009,0.77848,0.81299,0.45528,0.94059,0.0011774,0.0011774,0.0011774
91,421.492,0.13217,0.13002,0.78703,0.99468,0.97199,0.98786,0.77781,0.83204,0.4598,0.94953,0.0011719,0.0011719,0.0011719
92,426.142,0.13358,0.13018,0.78727,0.99577,0.97869,0.99022,0.7905,0.7881,0.42786,0.92643,0.0011664,0.0011664,0.0011664
93,430.792,0.13443,0.12788,0.7869,0.98947,0.96524,0.98564,0.7676,0.82579,0.49801,0.94377,0.0011609,0.0011609,0.0011609
94,435.418,0.13599,0.12969,0.7867,0.99458,0.9775,0.98923,0.77471,0.80521,0.43651,0.93244,0.0011554,0.0011554,0.0011554
95,440.068,0.13578,0.13111,0.78673,0.99072,0.95389,0.98442,0.7793,0.77877,0.54317,0.91573,0.0011499,0.0011499,0.0011499
96,444.717,0.13351,0.13004,0.78656,0.98961,0.96779,0.98918,0.77748,0.80689,0.50523,0.93936,0.0011444,0.0011444,0.0011444
97,449.35,0.12332,0.12251,0.78641,0.96945,0.96673,0.98826,0.7826,0.79947,0.52671,0.93066,0.00113889,0.00113889,0.00113889
98,453.999,0.1261,0.12189,0.78616,0.95015,0.9669,0.98877,0.78046,0.78783,0.54417,0.92438,0.00113339,0.00113339,0.00113339
99,458.652,0.12531,0.12173,0.7864,0.94329,0.96615,0.98585,0.77326,0.80028,0.60578,0.9303,0.00112789,0.00112789,0.00112789
100,463.307,0.12527,0.12295,0.78671,0.9627,0.97291,0.98909,0.77849,0.79078,0.52853,0.93577,0.00112239,0.00112239,0.00112239
101,467.97,0.12547,0.12228,0.78626,0.99235,0.96737,0.99016,0.78027,0.80074,0.49258,0.93439,0.00111689,0.00111689,0.00111689
102,472.649,0.12699,0.12236,0.78662,0.98713,0.96107,0.98598,0.77255,0.80349,0.53754,0.93699,0.00111139,0.00111139,0.00111139
103,477.289,0.11774,0.11766,0.78622,0.98959,0.96691,0.98853,0.77776,0.81005,0.52542,0.94202,0.00110589,0.00110589,0.00110589
104,481.935,0.11797,0.11898,0.78552,0.99222,0.96877,0.99079,0.78383,0.78473,0.47754,0.93117,0.00110039,0.00110039,0.00110039
105,486.604,0.12108,0.12015,0.78616,0.96189,0.95783,0.98157,0.7649,0.81673,0.67867,0.95386,0.00109489,0.00109489,0.00109489
106,491.243,0.12407,0.12086,0.78576,0.96025,0.96341,0.98478,0.77049,0.80198,0.60031,0.93833,0.00108938,0.00108938,0.00108938
107,495.91,0.11595,0.11603,0.78524,0.94748,0.96463,0.98344,0.77143,0.79365,0.64132,0.92973,0.00108388,0.00108388,0.00108388
108,500.556,0.11676,0.11567,0.78586,0.99147,0.96941,0.9887,0.77627,0.80325,0.47055,0.94251,0.00107838,0.00107838,0.00107838
109,505.186,0.11418,0.11343,0.78491,0.99283,0.9667,0.98744,0.78598,0.77685,0.67568,0.9196,0.00107288,0.00107288,0.00107288
110,509.841,0.11592,0.115,0.78442,0.98703,0.96801,0.98698,0.77918,0.77695,0.61419,0.93057,0.00106738,0.00106738,0.00106738
111,514.488,0.11046,0.1117,0.78482,0.99096,0.97097,0.98962,0.78211,0.77304,0.46671,0.92438,0.00106188,0.00106188,0.00106188
112,519.134,0.10764,0.11207,0.78468,0.99364,0.97249,0.98645,0.78426,0.78869,0.54681,0.93543,0.00105638,0.00105638,0.00105638
113,523.795,0.10588,0.11072,0.78484,0.9845,0.96169,0.98415,0.78591,0.80242,0.6079,0.94309,0.00105088,0.00105088,0.00105088
114,528.456,0.11933,0.11813,0.78518,0.99569,0.96792,0.98575,0.78233,0.80973,0.52087,0.9552,0.00104538,0.00104538,0.00104538
115,533.11,0.11892,0.11772,0.78549,0.99194,0.95927,0.98772,0.77989,0.7929,0.54919,0.93181,0.00103987,0.00103987,0.00103987
116,537.73,0.10063,0.10643,0.78446,0.99347,0.95733,0.98586,0.77483,0.79023,0.61507,0.93172,0.00103437,0.00103437,0.00103437
117,542.386,0.10174,0.10635,0.78411,0.98623,0.96463,0.98469,0.77229,0.81382,0.58283,0.9318,0.00102887,0.00102887,0.00102887
118,547.051,0.10442,0.10824,0.78389,0.98114,0.96344,0.98411,0.77125,0.78813,0.58428,0.92957,0.00102337,0.00102337,0.00102337
119,551.696,0.10343,0.10849,0.78421,0.91624,0.96263,0.98308,0.76656,0.81257,0.61999,0.93905,0.00101787,0.00101787,0.00101787
120,556.35,0.10182,0.10667,0.7836,0.9772,0.96211,0.98829,0.76374,0.81707,0.52216,0.93746,0.00101237,0.00101237,0.00101237
121,561.01,0.10012,0.10571,0.78448,0.99045,0.96583,0.98857,0.77967,0.79177,0.49352,0.93413,0.00100687,0.00100687,0.00100687
122,565.666,0.0999,0.10467,0.78391,0.96753,0.96288,0.98455,0.77197,0.80426,0.64572,0.93321,0.00100137,0.00100137,0.00100137
123,570.306,0.10362,0.10701,0.78413,0.9839,0.96376,0.98772,0.77824,0.7901,0.62224,0.93263,0.000995866,0.000995866,0.000995866
